step	loss
0	0.732680082321167
1	0.729051947593689
2	0.7254518866539001
3	0.7218883037567139
4	0.7183638215065002
5	0.7148822546005249
6	0.7114468216896057
7	0.7080598473548889
8	0.704720139503479
9	0.7014164924621582
10	0.6981528401374817
11	0.6949285864830017
12	0.6917365193367004
13	0.6885820031166077
14	0.6854686737060547
15	0.6823904514312744
16	0.6793434023857117
17	0.6763387322425842
18	0.6733678579330444
19	0.6704360246658325
20	0.6675430536270142
21	0.6646949648857117
22	0.6618849039077759
23	0.6591068506240845
24	0.6563581824302673
